PT Sembodo Rental Indonesia,,,,
Sales by Customer,,,,
01/07/2025 - 05/11/2025,,,,
(in IDR),,,,
,,,,
Customer / Date,No,Product,Description,Qty
27/09/2025,11849,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 27 September 2025 ,1
28/09/2025,11850,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 28 September 2025 ,1
29/09/2025,11851,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 29 September 2025 ,1
30/09/2025,11893,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 30 September 2025,1
01/10/2025,11894,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 1 Oktober  2025,1
02/10/2025,11895,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 2 Oktober  2025,1
03/10/2025,11896,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 3 Oktober  2025,1
04/10/2025,11899,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 4 Oktober  2025,1
05/10/2025,11900,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 5 Oktober  2025,1
06/10/2025,11901,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 6 Oktober  2025,1
07/10/2025,11913,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 07 Oktober  2025,1
08/10/2025,11914,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 08 Oktober  2025,1
09/10/2025,11915,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 09 Oktober  2025,1
10/10/2025,11916,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 10 Oktober  2025,1
11/10/2025,11917,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 11 Oktober  2025,1
12/10/2025,11918,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 12 Oktober  2025,1
13/10/2025,11919,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 13 Oktober  2025,1
14/10/2025,11931,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 14 Oktober 2025,1
15/10/2025,11932,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 15 Oktober 2025,1
16/10/2025,11933,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 16 Oktober 2025,1
17/10/2025,11940,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 17 Oktober 2025,1
18/10/2025,11941,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 18 Oktober 2025,1
19/10/2025,11942,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 19 Oktober 2025,1
20/10/2025,11943,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 20 Oktober 2025,1
21/10/2025,11944,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 21 Oktober 2025,1
22/10/2025,11945,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 22 Oktober 2025,1
23/10/2025,11946,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 23 Oktober 2025,1
24/10/2025,11947,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 24 Oktober 2025,1
25/10/2025,11989,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 25 Oktober 2025,1
26/10/2025,11990,Toyota Fortuner VRZ - B 2906 SJJ,Sewa tanpa pengemudi Tanggal 26 Oktober 2025,1
